transaction_id,is_fraud,fraud_category,fraud_subcategory
TXN_005323,0,NONE,NONE
TXN_013475,0,NONE,NONE
TXN_007505,0,NONE,NONE
TXN_014723,0,NONE,NONE
TXN_012574,0,NONE,NONE
TXN_001132,1,AMOUNT_ANOMALY,SUDDEN_HIGH_VALUE
TXN_000909,0,NONE,NONE
TXN_011526,0,NONE,NONE
TXN_013908,0,NONE,NONE
TXN_007615,0,NONE,NONE
TXN_008340,0,NONE,NONE
TXN_005931,0,NONE,NONE
TXN_002749,0,NONE,NONE
TXN_005046,0,NONE,NONE
TXN_003706,0,NONE,NONE
TXN_014010,0,NONE,NONE
TXN_003771,0,NONE,NONE
TXN_013199,0,NONE,NONE
TXN_013031,0,NONE,NONE
TXN_006503,0,NONE,NONE
TXN_007405,0,NONE,NONE
TXN_005967,0,NONE,NONE
TXN_008531,0,NONE,NONE
TXN_004399,0,NONE,NONE
TXN_013208,0,NONE,NONE
TXN_010523,0,NONE,NONE
TXN_000745,0,NONE,NONE
TXN_002678,0,NONE,NONE
TXN_007301,0,NONE,NONE
TXN_005027,1,AMOUNT_ANOMALY,SUDDEN_HIGH_VALUE
TXN_005970,0,NONE,NONE
TXN_014627,0,NONE,NONE
TXN_007689,0,NONE,NONE
TXN_011743,0,NONE,NONE
TXN_009622,0,NONE,NONE
TXN_004282,0,NONE,NONE
TXN_011441,0,NONE,NONE
TXN_006594,0,NONE,NONE
TXN_012346,0,NONE,NONE
TXN_014271,0,NONE,NONE
TXN_003211,0,NONE,NONE
TXN_011461,0,NONE,NONE
TXN_004420,0,NONE,NONE
TXN_004907,0,NONE,NONE
TXN_001806,0,NONE,NONE
TXN_014054,0,NONE,NONE
TXN_009878,0,NONE,NONE
TXN_012148,0,NONE,NONE
TXN_012059,0,NONE,NONE
TXN_011210,0,NONE,NONE
TXN_001174,0,NONE,NONE
TXN_007303,0,NONE,NONE
TXN_005327,0,NONE,NONE
TXN_005404,0,NONE,NONE
TXN_005643,0,NONE,NONE
TXN_000747,0,NONE,NONE
TXN_009958,0,NONE,NONE
TXN_004932,0,NONE,NONE
TXN_012211,0,NONE,NONE
TXN_006515,1,NETWORK,SHARED_DEVICE
TXN_004909,0,NONE,NONE
TXN_012570,0,NONE,NONE
TXN_010405,0,NONE,NONE
TXN_014538,0,NONE,NONE
TXN_003908,0,NONE,NONE
TXN_003184,0,NONE,NONE
TXN_009750,0,NONE,NONE
TXN_011954,0,NONE,NONE
TXN_001757,0,NONE,NONE
TXN_009597,0,NONE,NONE
TXN_001286,0,NONE,NONE
TXN_011320,0,NONE,NONE
TXN_013857,1,VELOCITY,RAPID_TRANSACTIONS
TXN_004995,0,NONE,NONE
TXN_004680,1,NETWORK,SHARED_DEVICE
TXN_011256,0,NONE,NONE
TXN_010991,0,NONE,NONE
TXN_010496,1,DEVICE,NEW_DEVICE
TXN_007245,1,AMOUNT_ANOMALY,SUDDEN_HIGH_VALUE
TXN_004885,0,NONE,NONE
TXN_007133,1,AMOUNT_ANOMALY,SUDDEN_HIGH_VALUE
TXN_010101,0,NONE,NONE
TXN_004531,0,NONE,NONE
TXN_013718,0,NONE,NONE
TXN_009572,0,NONE,NONE
TXN_012473,0,NONE,NONE
TXN_000204,0,NONE,NONE
TXN_012924,0,NONE,NONE
TXN_003877,0,NONE,NONE
TXN_000524,0,NONE,NONE
TXN_013317,1,AMOUNT_ANOMALY,SUDDEN_HIGH_VALUE
TXN_011887,1,BEHAVIORAL,SPENDING_PATTERN_SHIFT
TXN_013224,0,NONE,NONE
TXN_004506,0,NONE,NONE
TXN_000539,0,NONE,NONE
